currentTrial,FrameOrderLog,trial_type,trial,frame,duration,response,target,color,arrangement,A,B,userId,age,gender,start_time,end_time,total_dur
0,"[[3, 17, 20, 14, 5, 23, 7, 6, 16, 15, 8, 19, 22, 9, 2, 21, 10, 12, 4, 18, 11, 13, 1, 0]]",main,41,0,10450,C,C,Red,ABC,17,67,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
1,"[[7, 15, 9, 0, 14, 13, 5, 20, 1, 2, 16, 19, 8, 6, 22, 17, 18, 21, 10, 3, 12, 11, 23, 4]]",main,4,0,1359,A,A,Red,CBA,36,30,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
2,"[[3, 10, 5, 23, 17, 11, 16, 18, 22, 9, 14, 1, 19, 7, 12, 15, 21, 2, 0, 20, 6, 4, 13, 8]]",catch,66,0,4230,B,A,Red,CBA,77,52,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
3,"[[5, 16, 4, 6, 8, 20, 9, 15, 7, 3, 22, 2, 23, 12, 1, 13, 0, 11, 19, 10, 17, 21, 14, 18]]",main,91,0,1198,C,A,Red,CBA,41,36,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
4,"[[15, 8, 16, 6, 14, 4, 13, 0, 7, 2, 17, 12, 21, 20, 11, 1, 3, 10, 23, 5, 19, 18, 22, 9]]",catch,29,0,702,A,A,Red,CAB,72,52,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
5,"[[12, 20, 19, 0, 5, 15, 7, 2, 6, 18, 8, 22, 4, 17, 3, 14, 11, 10, 9, 16, 13, 23, 1, 21]]",main,11,0,689,C,A,Red,ACB,41,38,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
6,"[[13, 11, 4, 12, 20, 8, 7, 17, 19, 3, 16, 21, 9, 15, 6, 10, 5, 23, 22, 0, 14, 1, 18, 2]]",main,54,0,724,C,A,Red,BCA,39,36,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
7,"[[4, 11, 5, 16, 14, 21, 18, 1, 13, 0, 22, 2, 23, 15, 8, 9, 10, 3, 7, 17, 19, 6, 20, 12]]",main,12,0,465,C,C,Red,BAC,45,63,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
8,"[[1, 19, 13, 2, 12, 11, 7, 17, 21, 23, 10, 15, 16, 3, 18, 4, 8, 9, 14, 6, 5, 20, 0, 22]]",main,53,0,572,A,C,Red,CBA,27,54,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
9,"[[8, 0, 3, 7, 12, 11, 15, 2, 20, 13, 22, 21, 17, 18, 1, 16, 5, 19, 6, 14, 9, 10, 4, 23]]",catch,15,0,546,A,A,Blue,CBA,70,49,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
10,"[[11, 18, 14, 10, 21, 8, 19, 0, 9, 12, 17, 2, 16, 1, 13, 22, 20, 5, 15, 7, 3, 4, 6, 23]]",main,57,0,808,A,A,Red,ABC,44,39,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
11,"[[7, 15, 18, 12, 1, 20, 4, 11, 10, 0, 9, 5, 19, 22, 14, 13, 2, 8, 3, 21, 16, 17, 23, 6]]",main,82,0,718,A,A,Red,ABC,17,15,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
12,"[[4, 12, 23, 11, 7, 8, 10, 19, 18, 5, 9, 2, 22, 20, 6, 15, 13, 0, 1, 17, 21, 16, 14, 3]]",catch,69,0,687,A,A,Blue,BAC,72,48,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
13,"[[17, 1, 8, 12, 2, 6, 14, 15, 19, 3, 5, 21, 0, 18, 9, 11, 7, 22, 20, 13, 4, 16, 10, 23]]",main,3,0,556,A,A,Red,ACB,43,41,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
14,"[[19, 7, 4, 2, 20, 14, 23, 6, 13, 16, 5, 11, 15, 9, 12, 21, 10, 3, 1, 0, 17, 22, 18, 8]]",main,52,0,683,A,C,Red,ABC,34,54,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
15,"[[11, 10, 18, 0, 3, 14, 12, 7, 2, 9, 23, 13, 19, 22, 6, 21, 17, 4, 16, 8, 15, 20, 5, 1]]",main,61,0,972,B,C,Red,CAB,33,68,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
16,"[[19, 21, 16, 11, 17, 1, 6, 22, 14, 0, 23, 7, 4, 13, 8, 18, 9, 12, 2, 3, 5, 20, 10, 15]]",main,86,0,2609,B,C,Red,CBA,36,59,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
17,"[[22, 18, 23, 9, 16, 7, 6, 11, 21, 14, 0, 12, 13, 17, 1, 10, 3, 8, 19, 4, 2, 20, 5, 15]]",main,8,0,1209,C,A,Red,BAC,33,27,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
18,"[[9, 21, 4, 5, 15, 16, 8, 22, 0, 11, 23, 20, 1, 17, 7, 13, 18, 6, 2, 3, 19, 14, 12, 10]]",main,74,0,622,C,A,Red,CAB,33,28,8221,20.0,male,1748289296.528,1748290980.705,28.069616663455964
